Name,Discipline,Affiliation,Qualifition
Dr. Hina Siddiqi,Biological Sciences,"Pakistan International Medical College, Peshawar","M.Phil, MBBS"
Dr. Humaira Khan,Health Sciences,"Pakistan International Medical College, Peshawar","M.Phil, MBBS"
Dr. Ilyas,Biological Sciences,"Pakistan International Medical College, Peshawar","M.Phil, MBBS"
Dr. Imad Bashir,Social Sciences,"Pakistan International Medical College, Peshawar",MBBS
Dr. Inam Ullah,Health Sciences,"Pakistan International Medical College, Peshawar","M.Phil, MBBS"
Dr. Jan-E-Alam,Health Sciences,"Pakistan International Medical College, Peshawar",MBBS
Dr. Kamran Khan,Biological Sciences,"Pakistan International Medical College, Peshawar","M.Phil, MBBS"
Dr. Khalid Pervaiz Bukhari,Biological Sciences,"Pakistan International Medical College, Peshawar","M.Phil, MBBS"
Dr. Lal Muhammad,Health Sciences,"Pakistan International Medical College, Peshawar",MBBS
Dr. Maria Kamran,Health Sciences,"Pakistan International Medical College, Peshawar","M.Phil, MBBS"
Dr. Mohibullah Khan,Biological Sciences,"Pakistan International Medical College, Peshawar","M.Phil, MBBS"
Dr. Muhammad Shah Bangash,Health Sciences,"Pakistan International Medical College, Peshawar",MBBS
Dr. Muhammad Shiraz Khan,Biological Sciences,"Pakistan International Medical College, Peshawar","M.Phil, MBBS"
Dr. Muhammad Tariq Safi,Health Sciences,"Pakistan International Medical College, Peshawar","FRCS, MBBS"
Dr. Nasreen Ruby Faiz,Health Sciences,"Pakistan International Medical College, Peshawar",MBBS
Dr. Sabeen Hussain,Biological Sciences,"Pakistan International Medical College, Peshawar",MBBS
Dr. Saman Hussain,Health Sciences,"Pakistan International Medical College, Peshawar",MBBS
Dr. Shaista Alam,Biological Sciences,"Pakistan International Medical College, Peshawar","M.Phil, MBBS"
Faiz Ahmed Raza,Biological Sciences,"Pakistan Medical Research Council (PMRC), Faisalabad",
Dr. Muhammad Arif Nadeem Saqib,Biological Sciences,"Pakistan Medical Research Council (PMRC), Islamabad",
Dr. Muhammad Ayaz Mustufa,Biological Sciences,"Pakistan Medical Research Council (PMRC), Karachi",
Dr. Haneef Ur Rehman,Biological Sciences,"Pakistan Medical Research Council (PMRC), Turbat",
Aamir Yaseen,Earth Sciences,"Pakistan Museum of Natural History (PMNH), Islamabad",MS/Mphil
Hafiz Shahid Hussain,Earth Sciences,"Pakistan Museum of Natural History (PMNH), Islamabad",MS/Mphil
Dr. Khalid Mahmood,Biological Sciences,"Pakistan Museum of Natural History (PMNH), Islamabad",Post-Doc
Dr. Malik Muhammad Afzal,Social Sciences,"Pakistan Museum of Natural History (PMNH), Islamabad",Ph.D.
Mishkat Ullah,Agricultural Sciences,"Pakistan Museum of Natural History (PMNH), Islamabad",MS/Mphil
Dr. Muhammad Abbas,Biological Sciences,"Pakistan Museum of Natural History (PMNH), Islamabad",Ph.D.
Dr. S. Lal Shah,Biological Sciences,"Pakistan Museum of Natural History (PMNH), Islamabad",Ph.D.
Shehnaz Zakia,Agricultural Sciences,"Pakistan Museum of Natural History (PMNH), Islamabad",MS/Mphil
Ubaidullah Azeem,Information Technology,"Pakistan Museum of Natural History (PMNH), Islamabad",MS/Mphil
Muhammad Yousaf,Health Sciences,"Pakistan Nuclear Regulatory Authority (PNRA), Islamabad",M.Phil
Dr. Ahsan Feroze,Biological Sciences,"Pakistan Science Foundation (PSF), Islamabad",Ph.D.
Amber Asif,Social Sciences,"Pakistan Science Foundation (PSF), Islamabad",MS/Mphil
Farrukh Bashir Kayani,Physics,"Pakistan Science Foundation (PSF), Islamabad",MS/Mphil
Ijaz Ahmad,Agricultural Sciences,"Pakistan Science Foundation (PSF), Islamabad",MS/Mphil
Dr. Muhammad Ashraf,Biological Sciences,"Pakistan Science Foundation (PSF), Islamabad",
Muhammad Mohsin,Agricultural Sciences,"Pakistan Science Foundation (PSF), Islamabad",MS/Mphil
Naeem Abbas,Chemical Sciences,"Pakistan Science Foundation (PSF), Islamabad",MS/Mphil
Rafaqat Masroor,Biological Sciences,"Pakistan Science Foundation (PSF), Islamabad",
Dr. Rubina Tahir,Chemical Sciences,"Pakistan Science Foundation (PSF), Islamabad",Ph.D.
Saman Rauf,Agricultural Sciences,"Pakistan Science Foundation (PSF), Islamabad",MS/Mphil
Dr. Saqib Nasir,Chemical Sciences,"Pakistan Science Foundation (PSF), Islamabad",Ph.D.
Zaiban Faroog,Biological Sciences,"Pakistan Science Foundation (PSF), Islamabad",MS/Mphil
Fahad Ubaid,Information Technology,"Pakistan Scientific & Technological Information Center (PASTIC), Islamabad",MS
Dr. Ghazala Yasmeen Malik,Biological Sciences,"Pakistan Scientific & Technological Information Center (PASTIC), Islamabad",Ph.D
Dr. Maryum Ibrar Shinwari,Biological Sciences,"Pakistan Scientific & Technological Information Center (PASTIC), Islamabad","Post-Doc, Ph.D."
Dr. Muhammad Akram Shaikh,Information Technology,"Pakistan Scientific & Technological Information Center (PASTIC), Islamabad",Ph.D.
Muhammad Usman,Information Technology,"Pakistan Scientific & Technological Information Center (PASTIC), Islamabad",MS
Saifullah Azim,Information Technology,"Pakistan Scientific & Technological Information Center (PASTIC), Islamabad",M.Phil
Dr. Saima Huma Tanveer,biological Sciences,"Pakistan Scientific & Technological Information Center (PASTIC), Islamabad",Ph.D.
Dr. Syed Aftab Hussain Shah,Biological Sciences,"Pakistan Scientific & Technological Information Center (PASTIC), Islamabad",Ph.D.
Syed Habib Akhter Jaffri,Information Technology,"Pakistan Scientific & Technological Information Center (PASTIC), Islamabad",M.Phil.
Ibrar Ul Hassan Akhtar,Agricultural Sciences,"Pakistan Space and Upper Atmosphere Research Commission (SUPARCO), Islamabad",
Dr. Muhammad Iqbal,Earth Sciences,"Pakistan Space and Upper Atmosphere Research Commission (SUPARCO), Islamabad",
Akhtar Ali Memon,Physics,"Pakistan Space and Upper Atmosphere Research Commission (SUPARCO), Karachi",
Dr. Muhammad Shafiq,Earth Sciences,"Pakistan Space and Upper Atmosphere Research Commission (SUPARCO), Karachi",
Dr. Murtaza Hyder,Chemical Sciences,"Pakistan Space and Upper Atmosphere Research Commission (SUPARCO), Lahore",
Dr. Said Rahman,Physics,"Pakistan Space and Upper Atmosphere Research Commission (SUPARCO), Peshawar",
Mashooq Ali,Social Sciences,"Pakistan Study Centre (PSc), University of Sindh, Jamshoro",M.Phil
Dr. Asmat Salim,Health Sciences,"Panjwani Center for Molecular Medicine and Drug Research (PCMD), Karachi",Ph.D.
Dr. Feroza Saleem Jessani,Health Sciences,"People Medical College, Nawabshah",MBBS
Dr. Ghulam Zainab,Health Sciences,"People Medical College, Nawabshah",MBBS
Dr. Munazzah Meraj,Biological Sciences,"Peoples University of Medical & Health sciences, Nawabshah",Ph.D.
Rao Irfan,Health Sciences,"Peoples University of Medical & Health sciences, Nawabshah",M.Phil
Dr. Ghulam Sardar,Health Sciences,"Peoples University of Medical and Health Sciences for Women (PUMHSN), Nawabshash",MBBS
Dr. Abdul Majid,Health Sciences,"Peshawar Medical College, Peshawar",MBBS
Dr. Aamir Saleem,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Aayesha Riaz,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Abdul Ahad Qureshi,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Abdul Khaliq Ch,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Abdul Manaf,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Abdul Qayyum Mohsin,Social Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Abdul Razzaq,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Abdul Saboor,Social Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Abdul Waheed,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Abid Mahmood,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Abid Riaz,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Abida Arshad,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Abida Ikram,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Allah Wasaya,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Amjad Rashid Kayani,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Aniqa Batool,Earth Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Anwaar Ahmad,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Arfan Yousaf,Social Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Arshad Mahmood Malik,Social Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Arshad Nawaz Chaudhary,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Asif Ahmad,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Asim Gulzar,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Asma Sohail,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Ata Ul Mohsin,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Audil Rashid,Earth Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Azeem Khalid,Environmental Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Azra Khanum,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Badar Naseem Siddiqui,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Bushra Allah Rakha,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Bushra Jabeen,Chemical Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Ch. Abdul Rauf,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Farah Naz,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Farhana Chaudhry,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Farid Asif Shaheen,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Farzana Siddique,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Fayyaz Ul Hassan,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Feroza Hamid Wattoo,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Ghazala Kaukab,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Ghulam Abbas Shah,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Ghulam Bilal,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Ghulam Jilani,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Ghulam Qadir,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Ghulam Shabbir,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Humayun Javed,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Ikram Ali Malik,Social Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Imran Bodlah,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Imran Hassan,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Imtiaz Ahmad Khan,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Irfan Ahmad Baig,Social Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Irfan Aziz,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Ishfaq Ahmed Hafiz,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Kashif Sarfraz Abbasi,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Khalid Mahmood,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Khalid Mehmood,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",M.Phil
Dr. Khalid Saifullah Khan,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Khasan S. Karimov,Engineering Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. M Sheeraz Ahmad,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. M. Arif Zafar,Social Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. M. Inam-Ul-Haq,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. M. Irfan Ashraf,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. M. Naveed Iqbal Raja,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Mamoona Humayun,Information Technology,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Mansoor Abdullah,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Masood Iqbal Awan,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Mazhar Qayyum,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Mian Abdur Rehman Arif,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Mirza Azhar Beg,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Mobushir Riaz Khan,Information Technology,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Mohammad Saleem Akhtar,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Mubasharah Munir,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhamamd Amer Qureshi,Engineering Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Akmal,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Akram Khan,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Muhammad Ali Abdullah Shah,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Muhammad Ali Shah,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Ansar,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Arshad,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Ashfaq,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Asif,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Asif Aziz,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Aslam,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Muhammad Awais,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",M.Phil
Dr. Muhammad Azam Khan,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Azim Malik,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Farooq Iqbal,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Farooq Nasir,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Fiaz,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Gulfraz,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Hanif,Mathematics & Statistics,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Imran,Information Technology,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Inam -Ul-Haq,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Muhammad Irfan,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Muhammad Javaid Asad,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Kausar Nawaz Shah,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Moaeen-Ud-Din,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Mushtaq,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Naeem,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Naveed Tahir,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Rasheed,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Safdar Anjum,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Sajid Nadeem,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Sheeraz Ahmad,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Tariq,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Tariq Siddque,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Muhammad Usman Raja,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",M.Phil
Dr. Muhammad Yaqoob,Social Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Muhammad Zubair Anjum,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Mukhtar Ahmed,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Munir Ahmad,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Munir Ahmad,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Murtaz-Ul-Hasan,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Nadeem Akhtar Abbasi,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Nasir M. Minhas,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Nasir Mukhtar,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Noshin Ilyas,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Qaiser Hussain,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Rahmatullah Qureshi,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Rashid Mehmood,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Rashid Mehmood Rana,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Rehmat Ullah,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Riaz Ahmad,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Riaz Hussain Pasha,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Rifat Hayat,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Ruqia Mehmood Baig,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. S. M. Saqlan Naqvi,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Saad Imran Malik,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Sadia Saeed,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Safdar Ali,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Saif Ur Rehman,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Saifullah,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",M.Phil
Dr. Saima Altaf,Mathematics & Statistics,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Saima Jabeen,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Saima Mustafa,Mathematics & Statistics,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Sajid Umar,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Sarwat N. Mirza,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Shahid J. Butt,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Shahid Mahmood,Environmental Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Shahzad Ali,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",M.Phil
Dr. Shahzada Sohail Ijaz,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Shamim Akhter,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Sirajul Haq,Engineering Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Sobia Kanwal,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Sofia Hussain,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",
Dr. Syed Irtiza Hussain,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Syed Moazzam Nizami,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Talat Mahmood,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Tanveer Ahmad,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Tanveer Iqbal,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Tariq Mahmood,biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Tariq Masud,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Tariq Mukhtar,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Touqeer Ahmed,Agricultural Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
Dr. Yamin Bibi,Biological Sciences,"Pir Mehr Ali Shah (PMAS) Arid Agriculture University, Rawalpindi",Ph.D.
